uf_code,date,credit_pf,year,month
51,2023-03-31,127326498884.72,2023,3
51,2023-04-30,125906023434.72,2023,4
51,2023-05-31,126044504581.54,2023,5
51,2023-06-30,126193757645.66,2023,6
51,2023-07-31,127750729109.71,2023,7
51,2023-08-31,131237899417.24,2023,8
51,2023-09-30,134173587929.18,2023,9
51,2023-10-31,136833087303.6,2023,10
51,2023-11-30,138943951455.42,2023,11
51,2023-12-31,141058020311.44,2023,12
52,2022-01-31,139877966564.1,2022,1
52,2022-02-28,141210972563.69,2022,2
52,2022-03-31,142070070991.27,2022,3
52,2022-04-30,143135716282.4,2022,4
52,2022-05-31,145872984816.29,2022,5
52,2022-06-30,149146182025.7,2022,6
52,2022-07-31,152828259733.27,2022,7
52,2022-08-31,157136326182.08,2022,8
52,2022-09-30,160843276977.71,2022,9
52,2022-10-31,164308817564.71,2022,10
52,2022-11-30,167417125563.88,2022,11
52,2022-12-31,170230584695.24,2022,12
52,2023-01-31,172731473831.66,2023,1
52,2023-02-28,174099438522.71,2023,2
52,2023-03-31,176028533544.4,2023,3
52,2023-04-30,175722626163.09,2023,4
52,2023-05-31,177577379016.36,2023,5
52,2023-06-30,178283692916.43,2023,6
52,2023-07-31,180814282202.77,2023,7
52,2023-08-31,184172528032.77,2023,8
52,2023-09-30,186633869957.22,2023,9
52,2023-10-31,189751196830.3,2023,10
52,2023-11-30,192887200483.53,2023,11
52,2023-12-31,195615873340.03,2023,12
53,2022-01-31,73399941501.77,2022,1
53,2022-02-28,73614692551.79,2022,2
53,2022-03-31,74741819350.36,2022,3
53,2022-04-30,75329251805.88,2022,4
53,2022-05-31,76233844458.0,2022,5
53,2022-06-30,76917621302.49,2022,6
53,2022-07-31,77438658578.48,2022,7
53,2022-08-31,78579733938.82,2022,8
53,2022-09-30,79128121668.33,2022,9
53,2022-10-31,79921519747.54,2022,10
53,2022-11-30,80919733064.33,2022,11
53,2022-12-31,81299671384.45,2022,12
53,2023-01-31,82196588207.8,2023,1
53,2023-02-28,82273189477.33,2023,2
53,2023-03-31,83141994501.96,2023,3
53,2023-04-30,83263214290.28,2023,4
53,2023-05-31,83996604938.66,2023,5
53,2023-06-30,84027331062.68,2023,6
53,2023-07-31,84525710967.47,2023,7
53,2023-08-31,83977673702.05,2023,8
53,2023-09-30,85394587463.55,2023,9
53,2023-10-31,86055434178.64,2023,10
53,2023-11-30,87154775502.75,2023,11
53,2023-12-31,87511100935.98,2023,12
