dataset,response_label,group,model_series,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_income,income,PH2M,cP,9,-0.0098658305923757,-0.020451290708355,0.0007196295236035516,0.0078032329793046,-0.0018815267195364,-0.021689273320279406,-0.011823442727903706,False,True
lp_income,income,PH2M,cP,10,-0.0177131403840232,-0.0409240781762887,0.0054977974082421,0.0078032329793046,-0.0018752005528434,-0.021616348520939892,-0.0039032081369166916,True,True
lp_income,income,PH2M,cP,11,-0.0081399870511015,-0.023089284660786,0.0068093105585828,0.0078032329793046,-0.0018692029113502,-0.021547210791311947,-0.013407223740210448,True,True
lp_income,income,PH2M,cP,12,-0.0025864066774957,-0.0121365334547079,0.0069637200997164,0.0078032329793046,-0.0018635246580668,-0.02148175480486931,-0.018895348127373607,False,True
lp_income,income,PH2M,cP,13,-0.0133924746173513,-0.0333357990440775,0.0065508498093748,0.0078032329793046,-0.0018581458478449,-0.021419750644189918,-0.008027276026838618,True,True
lp_income,income,PH2M,cP,14,-0.0260926373332507,-0.0435470037539393,-0.0086382709125621,0.0078032329793046,-0.0018530505449783,-0.021361014610640248,0.004731622722610452,True,True
lp_income,income,PH2M,cP,15,-0.0007996539653892821,-0.0134561474806808,0.0118568395499022,0.0078032329793046,-0.0018482228685614,-0.021305363637299932,-0.02050570967191065,False,True
lp_income,income,PH2M,cP,16,-0.0187362210178293,-0.0345365822035892,-0.0029358598320695,0.0078032329793046,-0.0018436479661633,-0.021252626512976533,-0.0025164054951472316,True,True
lp_income,income,PH2M,cP,17,-0.0339497309833431,-0.0521471239094173,-0.0157523380572688,0.0078032329793046,-0.001839311696511,-0.021202640224340492,0.012747090759002606,True,True
lp_income,income,PH2M,cP,18,-0.0063178487498963,-0.0206310191865466,0.0079953216867539,0.0078032329793046,-0.0018352006523448,-0.021155250219390454,-0.014837401469494155,False,True
lp_income,income,PH2M,cP,19,-0.0071202110082323,-0.0234412591208784,0.0092008371044137,0.0078032329793046,-0.0018313020944834,-0.021110309647389615,-0.013990098639157315,True,True
lp_income,income,PH2M,cP,20,-0.0079062052464679,-0.0272786146508664,0.0114662041579306,0.0078032329793046,-0.0018276039083082,-0.021067678857239078,-0.013161473610771178,True,True
lp_income,income,PH2M,cP,21,0.0042434480720853,-0.0100145681429415,0.0185014642871123,0.0078032329793046,-0.0018240945515638,-0.021027224795748832,-0.025270672867834132,False,False
lp_income,income,PH2M,cP,22,-0.0106597993074853,-0.0301730748506782,0.0088534762357076,0.0078032329793046,-0.0018207629988529,-0.02098882036780352,-0.010329021060318218,True,True
lp_income,income,PH2M,cP,23,-0.0136291249296838,-0.0266694044318772,-0.0005888454274905553,0.0078032329793046,-0.0018175986773416,-0.020952343695206096,-0.007323218765522296,True,True
lp_income,income,PH2M,cP,24,0.0060631442752831,-0.0067500001162945,0.0188762886668607,0.0078032329793046,-0.0018145913891154,-0.02091767722163777,-0.026980821496920868,False,False
lp_income,income,PH2M,cP,25,-0.0039074645203028,-0.0135142434582033,0.0056993144175976,0.0078032329793046,-0.001811731212523,-0.020884706575399956,-0.016977242055097156,False,True
lp_income,income,PH2M,cP,26,-0.0122324334814753,-0.0215500947652795,-0.0029147721976712,0.0078032329793046,-0.0018090083714035,-0.020853319061932656,-0.008620885580457356,True,True
lp_income,income,PH2M,cP,27,6.446101827747733e-05,-0.0154584352312321,0.0155873572677871,0.0078032329793046,-0.0018064130557088,-0.020823401596041645,-0.020887862614319123,False,False
lp_income,income,PH2M,cP,28,0.024608855301354,0.0154984263004578,0.0337192843022501,0.0078032329793046,-0.0018039351691845,-0.02079483779329351,-0.04540369309464751,False,False
lp_income,income,PH2M,cP,29,-0.000343252710925775,-0.0129951289968904,0.0123086235750388,0.0078032329793046,-0.0018015639683045,-0.02076750380783925,-0.020424251096913475,False,True
lp_income,income,PH2M,cP,30,0.0033129453704672,-0.0098858932106972,0.0165117839516316,0.0078032329793046,-0.0017992875401166,-0.02074126231328662,-0.02405420768375382,False,False
lp_income,income,PH2M,cP,31,0.0164665841893634,0.0045721941643306,0.0283609742143961,0.0078032329793046,-0.001797092043227,-0.020715953753159398,-0.0371825379425228,False,False
